Pos,Squadra,Punti,G,V,N,P,GF,GS
1,Milan,71,33,21,8,4,58,29
2,Inter,69,32,20,9,3,68,25
3,Napoli,67,33,20,7,6,59,27
4,Juve,63,33,18,9,6,50,29
5,Roma,58,33,17,7,9,54,37
6,Fiorentina,56,32,17,5,10,53,40
7,Lazio,56,33,16,8,9,65,48
8,Atalanta,51,32,14,9,9,54,38
9,Verona,48,33,13,9,11,58,50


10,Sassuolo,46,33,12,10,11,58,53
11,Torino,40,32,10,10,12,36,31
12,Udinese,39,31,9,12,10,47,49
13,Bologna,38,32,10,8,14,35,45
14,Empoli,34,33,8,10,15,42,60
15,Spezia,33,33,9,6,18,33,57
16,Sampdoria,29,33,8,5,20,40,56
17,Cagliari,28,33,6,10,17,31,61
18,Venezia,22,32,5,7,20,26,58
19,Genoa,22,33,2,16,15,24,54
20,Salernitana,19,31,4,7,20,25,69
